date,high,low,open,volume,adj_close,rolling_ma,RSI,MACD,Signal_Line,MACD_Histogram,SMA_20,upper_band,lower_band,year,month,day,weekday,Fourier_Sin_7,Fourier_Cos_7,Fourier_Sin_30,Fourier_Cos_30
1981-01-30,0.0978675014612374,0.0970090627670288,0.0978675014612374,46188800,0.0970090627670288,0.1063090753212955,23.83236119446211,-0.0003745872832889,0.0011486261672407,-0.0015232134505296,0.1073433334693192,0.1201370176131526,0.0945496493254859,1981,1,30,4,0.9749279121818246,-0.2225209339563099,-1.133107779529596e-15,1.0
1981-02-02,0.0918584320854268,0.0914292186498642,0.0918584320854268,23766400,0.0914292186498642,0.1036036468355807,18.46903947188764,-0.0015705669945051,0.0006047875348915,-0.0021753545293967,0.105827703486514,0.1213209535461273,0.0903344534269006,1981,2,2,0,-0.9749279121818234,-0.2225209339563155,0.5877852522924729,0.8090169943749476
1981-02-03,0.0952921962181922,0.0948629826307296,0.0948629826307296,19152000,0.0948629826307296,0.1020144351619714,29.70226303853481,-0.0022157714422038,4.067573947247549e-05,-0.0022564471816762,0.1047834443573916,0.1209325855866371,0.0886343031281462,1981,2,3,1,-0.7818314824680284,0.6234898018587354,0.7431448254773942,0.6691306063588582
1981-02-04,0.09872590971064,0.0982967019081115,0.0982967019081115,27865600,0.0982967019081115,0.1013384836612696,39.34481576849356,-0.0024221076176499,-0.000451880931952,-0.0019702266856979,0.1041656593622221,0.1200148234448588,0.0883164952795855,1981,2,4,2,-1.2246467991473533e-15,1.0,0.8660254037844384,0.5000000000000004
1981-02-05,0.0991551289752152,0.0982967019081115,0.0982967019081115,7929600,0.0982967019081115,0.1007854324334227,39.34481576849356,-0.0025561646483539,-0.0008727376752324,-0.0016834269731215,0.1036067110332592,0.1190904600696443,0.0881229619968742,1981,2,5,3,0.781831482468029,0.6234898018587345,0.9510565162951536,0.3090169943749477
1981-02-06,0.0991551417254879,0.0987259224057197,0.0987259224057197,13865600,0.0987259224057197,0.1004109760647494,40.69853189874062,-0.0025978251922775,-0.0012177551786414,-0.001380070013636,0.1031418740211126,0.1181597569469596,0.0881239910952657,1981,2,6,4,0.9749279121818238,-0.2225209339563131,0.9945218953682732,0.1045284632676534
1981-02-09,0.094433776515619,0.0935753434896469,0.094433776515619,16755200,0.0935753434896469,0.0991681337783671,31.09089805832518,-0.0030117327662373,-0.0015765506961606,-0.0014351820700767,0.1022307758752587,0.1176338993012977,0.0868276524492198,1981,2,9,0,-0.9749279121818232,-0.2225209339563157,0.8660254037844392,-0.4999999999999992
1981-02-10,0.0940045628681454,0.0935753434896469,0.0935753434896469,18345600,0.0935753434896469,0.0981512628167816,31.09089805832518,-0.0033016975861062,-0.0019215800741497,-0.0013801175119565,0.1014064489813909,0.1169574675352129,0.0858554304275689,1981,2,10,1,-0.7818314824680307,0.6234898018587324,0.7431448254773952,-0.6691306063588571
1981-02-11,0.0910000284798797,0.0905708149075508,0.0910000284798797,13843200,0.0905708149075508,0.0967729995605578,26.27388239023668,-0.0037309293109445,-0.0022834499215087,-0.0014474793894358,0.1003744838315014,0.1165423169360142,0.0842066507269886,1981,2,11,2,-1.469576158976824e-15,1.0,0.5877852522924734,-0.8090169943749472
1981-02-12,0.090141601240554,0.0897116139531135,0.090141601240554,14560000,0.0897116139531135,0.0954891112682952,24.9960259202428,-0.0040932445069872,-0.0026454088386044,-0.0014478356683828,0.0993589724145121,0.1160248581037391,0.082693086725285,1981,2,12,3,0.7818314824680289,0.6234898018587347,0.406736643075801,-0.9135454576426004
1981-02-13,0.0884239817867634,0.0875655487179756,0.0884239817867634,11155200,0.0875655487179756,0.0940484635318734,21.923076578846405,-0.0045016591151571,-0.0030166588939149,-0.0014850002212422,0.0982357892053181,0.1156070258813828,0.0808645525292534,1981,2,13,4,0.9749279121818256,-0.2225209339563059,0.2079116908177608,-0.9781476007338054
1981-02-17,0.090141601240554,0.0897116139531135,0.0897116139531135,12275200,0.0897116139531135,0.0932599454266444,31.622492975643425,-0.0045991450245652,-0.003333156120045,-0.0012659889045202,0.0974239629908225,0.1147265117011785,0.0801214142804664,1981,2,17,1,-0.7818314824680308,0.6234898018587323,-0.5877852522924728,-0.8090169943749477
1981-02-18,0.094433776515619,0.0935753434896469,0.0935753434896469,19241600,0.0935753434896469,0.0933172905290084,45.64881061947502,-0.0043148932238987,-0.0035295035408157,-0.0007853896830829,0.0970574278002343,0.1136776928416459,0.0804371627588227,1981,2,18,2,-1.7145055188062944e-15,1.0,-0.7431448254773936,-0.6691306063588589
1981-02-19,0.0884239811618764,0.0879947617650032,0.0884239811618764,22310400,0.0879947617650032,0.092349558026462,34.019000620742375,-0.0044881908598278,-0.0037212410046181,-0.0007669498552096,0.0961943167492599,0.1129191828768934,0.0794694506216264,1981,2,19,3,0.7818314824680287,0.6234898018587349,-0.8660254037844387,-0.4999999999999998
1981-02-20,0.0837025854044729,0.0832733660936355,0.0837025854044729,24371200,0.0832733660936355,0.0906993413114027,27.243456315181163,-0.0049494534388577,-0.003966883491466,-0.0009825699473916,0.0949637500201528,0.1126740065141202,0.0772534935261854,1981,2,20,4,0.974927912181824,-0.2225209339563126,-0.9510565162951534,-0.3090169943749478
1981-02-23,0.0849902319967515,0.0845610126852989,0.0845610126852989,14112000,0.0845610126852989,0.089583281561202,31.534552797153395,-0.0051517192249295,-0.0042038506381587,-0.0009478685867707,0.0939730131311191,0.1119463892480346,0.0759996370142037,1981,2,23,0,-0.9749279121818232,-0.2225209339563162,-0.9510565162951538,0.309016994374947
1981-02-24,0.0824149168232424,0.0815564841032028,0.0824149168232424,16979200,0.0815564841032028,0.0881238638415658,27.213340190029456,-0.0054911580128746,-0.0044613121131019,-0.0010298458997726,0.0927904865570319,0.1114508884421034,0.0741300846719603,1981,2,24,1,-0.781831482468031,0.623489801858732,-0.8660254037844383,0.5000000000000007
